,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,dien_tich,huong_ban_cong,phong_ngu,id_thanh_pho,ten_thanh_pho,id_quan,ten_quan,so_tang,mat_tien,noi_that,huong_nha,so_do,lat,long,gia,gia_m2,du_an,project_name,id_duong,ten_duong,do_rong_duong,do_rong_duong_ml,id_phuong,ten_phuong
198,3501,36959,36959,100.0,,,5e5501caeb80a7245175dddb,Thành phố Hà Nội,5e5501caeb80a7245175de2c,Quận Đống Đa,4.0,6.0,,,0,21.017649,105.830046,19000.0,190.0,,,5e958eea208d0d6d7648fdc5,15,30.0,Mặt phố - Mặt đường,,
199,3503,36961,36961,50.0,,,5e5501caeb80a7245175dddb,Thành phố Hà Nội,5e5501caeb80a7245175de2c,Quận Đống Đa,5.0,3.5,,,0,21.0187513,105.8219003,14000.0,280.0,,,5e958eea208d0d6d7648fdc6,16,6.0,Mặt phố - Mặt đường,,
200,3505,36963,36963,80.1,,,5e5501caeb80a7245175dddb,Thành phố Hà Nội,5e5501caeb80a7245175de2c,Quận Đống Đa,1.0,5.0,,,0,21.017649,105.830046,20986.2,262.0,,,5e958eea208d0d6d7648fdc1,11,25.0,Mặt phố - Mặt đường,5e5501cbeb80a7245175e127,Phường Khâm Thiên
201,3553,37011,37011,70.0,,,5e5501caeb80a7245175dddb,Thành phố Hà Nội,5e5501caeb80a7245175de2c,Quận Đống Đa,5.0,4.2,,,0,21.017649,105.830046,19000.0,271.42857142857144,,,5e958eea208d0d6d7648fd91,82,10.0,Mặt phố - Mặt đường,5e5501cbeb80a7245175e123,Phường Ô Chợ Dừa
202,3562,37020,37020,75.0,,,5e5501caeb80a7245175dddb,Thành phố Hà Nội,5e5501caeb80a7245175de2c,Quận Đống Đa,5.0,7.6,,,0,21.019366899999998,105.80743819999999,28980.0,386.4,,,5e958eea208d0d6d7648fd89,53,20.0,Mặt phố - Mặt đường,,
203,3586,37044,37044,70.0,,,5e5501caeb80a7245175dddb,Thành phố Hà Nội,5e5501caeb80a7245175de2c,Quận Đống Đa,4.0,4.2,,,0,21.017649,105.830046,19000.0,271.42857142857144,,,5e958eea208d0d6d7648fdbc,6,10.0,Mặt phố - Mặt đường,,
204,3607,37065,37065,23.0,,,5e5501caeb80a7245175dddb,Thành phố Hà Nội,5e5501caeb80a7245175de2c,Quận Đống Đa,4.0,3.3,,KXĐ,0,21.0092227,105.8143864,7400.0,321.7391304347826,,,5e958eea208d0d6d7648fdd1,24,4.0,Mặt phố - Mặt đường,,
205,3608,37066,37066,48.0,,,5e5501caeb80a7245175dddb,Thành phố Hà Nội,5e5501caeb80a7245175de2c,Quận Đống Đa,9.0,5.0,,KXĐ,0,21.019366899999998,105.80743819999999,6900.0,143.75,,,5e958eea208d0d6d7648fd78,39,7.0,Mặt phố - Mặt đường,,
206,3684,37143,37143,48.0,,,5e5501caeb80a7245175dddb,Thành phố Hà Nội,5e5501caeb80a7245175de2c,Quận Đống Đa,6.0,4.5,,,0,21.017649,105.830046,26000.0,541.6666666666666,,,5e958eea208d0d6d7648fdd6,30,10.0,Mặt phố - Mặt đường,,
207,3687,37146,37146,50.0,,,5e5501caeb80a7245175dddb,Thành phố Hà Nội,5e5501caeb80a7245175de2c,Quận Đống Đa,5.0,5.0,,Tây Bắc,0,21.017649,105.830046,20500.0,410.0,,,5e958eea208d0d6d7648fd8a,52,20.0,Mặt phố - Mặt đường,,
